                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.0585,                 1.5203,                 1.3056,                0.58404,                0.55397,                0.56529,                0.39972,                 1.1361,                 1.4795,                 1.3613,              0.0002655,              0.0002655,              0.0002655
                     18,                 1.0344,                  1.469,                 1.2974,                0.52875,                 0.5246,                 0.5342,                0.37717,                 1.1284,                 1.5405,                 1.3688,               0.000263,               0.000263,               0.000263
                     19,                  1.038,                 1.4259,                 1.2915,                0.56767,                0.55754,                0.55975,                0.39916,                 1.1011,                 1.5145,                   1.33,              0.0002605,              0.0002605,              0.0002605
                     20,                 1.0172,                 1.4089,                 1.2826,                0.54196,                0.54782,                0.56203,                0.39767,                 1.1291,                 1.5124,                 1.3743,               0.000258,               0.000258,               0.000258
                     21,                 1.0289,                 1.3874,                 1.2836,                0.60632,                0.51683,                0.55195,                0.39232,                 1.1311,                  1.582,                 1.3699,              0.0002555,              0.0002555,              0.0002555
                     22,                  1.017,                 1.3408,                 1.2754,                0.56729,                0.53958,                0.55997,                0.40227,                 1.1096,                 1.4511,                 1.3298,               0.000253,               0.000253,               0.000253
                     23,                 1.0145,                 1.3432,                 1.2692,                0.55464,                0.60913,                0.59868,                0.43033,                 1.1055,                 1.4174,                 1.3395,             0.00025051,             0.00025051,             0.00025051
                     24,                0.99464,                 1.2839,                  1.263,                0.54383,                0.58922,                0.56806,                0.40242,                 1.1356,                 1.4786,                 1.3666,             0.00024801,             0.00024801,             0.00024801
                     25,                 0.9988,                 1.2784,                 1.2653,                0.58633,                0.58686,                0.58031,                0.41526,                 1.0925,                 1.4024,                 1.3278,             0.00024551,             0.00024551,             0.00024551
                     26,                0.98931,                 1.2473,                 1.2568,                 0.6039,                0.55914,                0.58906,                0.42125,                 1.0964,                 1.3968,                 1.3336,             0.00024301,             0.00024301,             0.00024301
                     27,                0.99135,                 1.2318,                 1.2525,                0.57626,                0.59499,                0.59588,                0.42986,                 1.0856,                 1.3689,                 1.3174,             0.00024051,             0.00024051,             0.00024051
                     28,                0.98906,                 1.2273,                 1.2515,                0.62251,                0.53886,                 0.5849,                0.42412,                 1.0792,                 1.3839,                 1.3164,             0.00023801,             0.00023801,             0.00023801
                     29,                0.95989,                 1.1853,                 1.2423,                0.57925,                0.58166,                0.57811,                0.41176,                 1.0881,                 1.4474,                 1.3252,             0.00023551,             0.00023551,             0.00023551
                     30,                0.98085,                 1.1745,                 1.2447,                0.58303,                0.62026,                0.59882,                 0.4359,                 1.0817,                 1.3666,                 1.3265,             0.00023301,             0.00023301,             0.00023301
                     31,                0.96273,                 1.1541,                  1.234,                0.63826,                0.58449,                0.61179,                0.44614,                 1.0819,                 1.3122,                  1.321,             0.00023051,             0.00023051,             0.00023051
                     32,                0.95483,                 1.1445,                 1.2324,                0.65594,                0.57936,                0.60849,                0.43932,                 1.0713,                 1.3403,                 1.3085,             0.00022801,             0.00022801,             0.00022801
                     33,                0.94874,                 1.1241,                 1.2298,                0.61739,                0.55613,                0.59515,                0.43511,                 1.0767,                 1.3753,                   1.31,             0.00022551,             0.00022551,             0.00022551
                     34,                 0.9515,                 1.1176,                 1.2304,                0.60763,                0.57615,                0.59657,                0.43503,                  1.075,                 1.4215,                 1.3097,             0.00022301,             0.00022301,             0.00022301
                     35,                 0.9375,                  1.091,                 1.2262,                0.63527,                0.58908,                0.60368,                0.43908,                 1.0642,                 1.3393,                 1.3071,             0.00022051,             0.00022051,             0.00022051
                     36,                0.93809,                 1.0787,                  1.223,                 0.6428,                0.55414,                0.60002,                 0.4397,                 1.0685,                 1.3802,                 1.3135,             0.00021801,             0.00021801,             0.00021801
                     37,                0.93863,                  1.072,                 1.2169,                0.62398,                0.61083,                0.63433,                0.46222,                 1.0655,                 1.2947,                 1.3091,             0.00021551,             0.00021551,             0.00021551
                     38,                0.93731,                 1.0769,                 1.2228,                0.56203,                0.57671,                0.59769,                0.43838,                  1.059,                 1.3378,                 1.3066,             0.00021301,             0.00021301,             0.00021301
                     39,                0.92718,                 1.0507,                 1.2189,                0.62541,                0.60135,                0.61216,                0.44498,                 1.0929,                 1.2918,                 1.3147,             0.00021051,             0.00021051,             0.00021051
                     40,                0.92308,                 1.0396,                 1.2175,                 0.6442,                0.56794,                0.60432,                0.44043,                  1.059,                 1.2841,                 1.2894,             0.00020801,             0.00020801,             0.00020801
                     41,                0.92042,                 1.0169,                 1.2087,                0.58425,                0.61299,                0.60477,                0.44759,                 1.0515,                 1.3086,                  1.299,             0.00020551,             0.00020551,             0.00020551
                     42,                0.91463,                 1.0086,                  1.201,                0.60967,                 0.5913,                0.59327,                0.43277,                 1.0687,                  1.326,                 1.3116,             0.00020301,             0.00020301,             0.00020301
                     43,                0.90926,                0.99625,                 1.2009,                 0.6291,                0.59912,                0.59966,                0.44453,                 1.0551,                 1.3165,                 1.3111,             0.00020051,             0.00020051,             0.00020051
                     44,                0.91448,                 1.0045,                 1.2049,                0.63583,                0.60951,                0.61418,                0.45191,                 1.0466,                 1.2637,                 1.2887,             0.00019801,             0.00019801,             0.00019801
                     45,                0.89776,                0.97896,                 1.1913,                 0.6451,                0.59288,                0.61237,                 0.4524,                  1.054,                 1.2672,                 1.2991,             0.00019551,             0.00019551,             0.00019551
                     46,                0.88226,                0.95795,                 1.1884,                0.67801,                0.55834,                0.60722,                0.45304,                 1.0264,                 1.2783,                 1.2858,             0.00019301,             0.00019301,             0.00019301
                     47,                0.89464,                 0.9601,                   1.19,                0.63416,                0.59434,                0.61032,                0.45141,                 1.0451,                 1.2699,                 1.2903,             0.00019051,             0.00019051,             0.00019051
                     48,                0.89147,                0.96541,                 1.1909,                0.68489,                0.57432,                0.62008,                0.46302,                 1.0347,                 1.2674,                 1.2835,             0.00018801,             0.00018801,             0.00018801
                     49,                0.88654,                0.93438,                 1.1877,                0.64505,                0.59613,                 0.6179,                0.46034,                 1.0452,                 1.3359,                 1.2958,             0.00018551,             0.00018551,             0.00018551
                     50,                0.87867,                0.93345,                 1.1806,                0.61337,                0.60198,                0.60957,                0.45451,                 1.0296,                 1.2656,                 1.2848,             0.00018301,             0.00018301,             0.00018301
                     51,                0.87962,                0.93388,                 1.1839,                0.63871,                0.57243,                0.61229,                0.45158,                 1.0405,                 1.2825,                 1.2976,             0.00018051,             0.00018051,             0.00018051
                     52,                0.87243,                0.89894,                 1.1751,                 0.6405,                 0.6018,                0.62684,                0.46346,                 1.0347,                 1.2359,                 1.2905,             0.00017801,             0.00017801,             0.00017801
                     53,                0.86219,                 0.8978,                 1.1701,                0.62813,                0.60184,                0.61061,                0.45078,                 1.0202,                 1.2435,                 1.2678,             0.00017551,             0.00017551,             0.00017551
                     54,                0.86743,                0.89459,                 1.1691,                0.69929,                0.56775,                0.60878,                0.45687,                 1.0402,                 1.2761,                 1.2919,             0.00017301,             0.00017301,             0.00017301
                     55,                0.85772,                0.89161,                 1.1716,                0.66207,                0.58417,                0.60786,                0.45096,                 1.0628,                 1.2683,                 1.3035,             0.00017051,             0.00017051,             0.00017051
                     56,                0.86086,                0.89715,                 1.1697,                0.65436,                0.59197,                0.61254,                0.45656,                 1.0432,                 1.2387,                 1.2934,             0.00016801,             0.00016801,             0.00016801
                     57,                0.85661,                0.88252,                 1.1681,                0.61311,                0.62828,                0.59981,                0.44499,                 1.0297,                 1.2737,                 1.2897,             0.00016551,             0.00016551,             0.00016551
                     58,                0.85299,                0.87832,                 1.1676,                0.67429,                0.58832,                0.60847,                0.45439,                 1.0519,                 1.2961,                 1.2981,             0.00016301,             0.00016301,             0.00016301
                     59,                0.84957,                0.86701,                 1.1649,                0.64901,                0.60286,                0.62515,                0.46605,                 1.0308,                 1.2553,                 1.2797,             0.00016051,             0.00016051,             0.00016051
                     60,                0.84542,                0.86091,                 1.1587,                0.62885,                0.62064,                 0.6162,                0.46261,                 1.0392,                 1.2359,                 1.3013,             0.00015801,             0.00015801,             0.00015801
                     61,                0.83752,                0.85127,                 1.1589,                0.63204,                0.62861,                  0.609,                0.45248,                 1.0609,                 1.2803,                 1.3039,             0.00015551,             0.00015551,             0.00015551
                     62,                 0.8335,                0.83614,                 1.1564,                0.64397,                0.61383,                0.63318,                0.47229,                 1.0223,                 1.2106,                 1.2812,             0.00015301,             0.00015301,             0.00015301
                     63,                0.83193,                0.83515,                 1.1507,                0.64412,                0.60693,                0.62227,                0.46773,                 1.0273,                 1.2466,                 1.2734,             0.00015052,             0.00015052,             0.00015052
                     64,                0.83427,                0.82944,                 1.1503,                0.60472,                0.61948,                0.61015,                0.45099,                 1.0435,                 1.2637,                  1.287,             0.00014802,             0.00014802,             0.00014802
                     65,                0.83243,                0.82012,                 1.1507,                 0.6674,                0.59956,                0.62705,                0.47005,                 1.0256,                 1.2209,                 1.2737,             0.00014552,             0.00014552,             0.00014552
                     66,                0.81767,                0.81007,                 1.1448,                0.65782,                 0.5953,                0.60394,                0.45369,                 1.0309,                 1.2731,                 1.2937,             0.00014302,             0.00014302,             0.00014302
                     67,                0.82454,                 0.8165,                 1.1453,                0.63642,                0.61457,                0.60199,                0.45352,                 1.0207,                 1.2896,                 1.2842,             0.00014052,             0.00014052,             0.00014052
                     68,                0.81578,                0.81404,                 1.1421,                0.67895,                0.60052,                 0.6238,                0.46792,                 1.0091,                 1.2405,                 1.2718,             0.00013802,             0.00013802,             0.00013802
                     69,                0.81692,                0.80883,                 1.1458,                0.68286,                0.59441,                0.61689,                0.46722,                 1.0092,                 1.2326,                 1.2686,             0.00013552,             0.00013552,             0.00013552
                     70,                0.80805,                0.79154,                   1.14,                0.64417,                0.60453,                0.61461,                0.46188,                 1.0176,                 1.2256,                 1.2695,             0.00013302,             0.00013302,             0.00013302
                     71,                0.79528,                0.77867,                 1.1322,                0.66368,                0.61512,                0.62362,                0.46777,                 1.0204,                  1.214,                 1.2685,             0.00013052,             0.00013052,             0.00013052
                     72,                0.80489,                0.78588,                 1.1343,                0.65807,                0.61525,                0.61636,                0.46255,                 1.0155,                 1.2172,                 1.2715,             0.00012802,             0.00012802,             0.00012802
                     73,                0.79901,                0.77689,                 1.1284,                0.65844,                0.59431,                0.61964,                0.46954,                 1.0029,                 1.2121,                 1.2618,             0.00012552,             0.00012552,             0.00012552
                     74,                0.79772,                0.76548,                 1.1324,                0.65834,                0.59394,                0.61722,                0.46537,                 1.0146,                 1.2058,                  1.273,             0.00012302,             0.00012302,             0.00012302
                     75,                 0.8035,                0.77163,                   1.13,                0.67201,                 0.5952,                0.61508,                0.46311,                 1.0054,                 1.2279,                  1.266,             0.00012052,             0.00012052,             0.00012052
                     76,                0.79425,                0.76342,                 1.1296,                0.65849,                0.58553,                0.59886,                0.45566,                 1.0061,                 1.2501,                 1.2669,             0.00011802,             0.00011802,             0.00011802
                     77,                0.79027,                0.75751,                 1.1258,                0.63817,                0.60497,                0.61757,                0.46592,                 1.0005,                 1.2232,                 1.2618,             0.00011552,             0.00011552,             0.00011552
                     78,                0.78458,                0.75187,                 1.1215,                0.63936,                0.62261,                0.61911,                0.46546,                 1.0045,                 1.2528,                 1.2631,             0.00011302,             0.00011302,             0.00011302
                     79,                0.78446,                0.75922,                 1.1249,                0.65112,                0.62478,                0.61586,                 0.4625,                 1.0069,                  1.227,                 1.2666,             0.00011052,             0.00011052,             0.00011052
                     80,                0.78642,                0.75209,                 1.1235,                0.67913,                0.59416,                0.61738,                 0.4674,                0.99954,                 1.2397,                 1.2591,             0.00010802,             0.00010802,             0.00010802
                     81,                0.78103,                0.74166,                 1.1237,                 0.6783,                0.59801,                0.62387,                0.47208,                0.99154,                 1.2183,                 1.2574,             0.00010552,             0.00010552,             0.00010552
                     82,                0.78036,                0.73931,                   1.12,                0.64292,                0.61179,                0.61564,                0.46426,                 1.0063,                 1.2441,                 1.2668,             0.00010302,             0.00010302,             0.00010302
                     83,                0.77704,                0.73575,                 1.1149,                0.65201,                0.60505,                0.62536,                0.47376,                0.99314,                 1.2134,                  1.259,             0.00010052,             0.00010052,             0.00010052
                     84,                0.78097,                0.73398,                 1.1191,                 0.6829,                0.59047,                0.62228,                0.47163,                0.99218,                 1.2019,                 1.2598,              9.802e-05,              9.802e-05,              9.802e-05
                     85,                0.76198,                0.71713,                 1.1083,                0.71011,                0.58492,                 0.6251,                0.46931,                0.99717,                 1.2214,                 1.2598,             9.5521e-05,             9.5521e-05,             9.5521e-05
                     86,                0.76007,                0.71799,                  1.107,                0.68217,                0.58718,                0.62342,                0.46906,                0.98121,                 1.2101,                 1.2472,             9.3021e-05,             9.3021e-05,             9.3021e-05
                     87,                0.76289,                0.71823,                 1.1108,                0.68132,                0.59825,                0.62529,                0.47478,                0.98738,                 1.2161,                 1.2464,             9.0521e-05,             9.0521e-05,             9.0521e-05
                     88,                0.76627,                0.72148,                 1.1092,                0.69154,                0.61087,                0.63214,                 0.4767,                0.99549,                 1.2012,                  1.264,             8.8021e-05,             8.8021e-05,             8.8021e-05
                     89,                0.76218,                0.71105,                 1.1069,                0.69816,                 0.6068,                0.63451,                0.47869,                0.98787,                 1.1759,                 1.2524,             8.5522e-05,             8.5522e-05,             8.5522e-05
                     90,                0.76088,                0.71304,                 1.1082,                0.70398,                0.59904,                0.63146,                0.48021,                0.99082,                  1.195,                 1.2586,             8.3022e-05,             8.3022e-05,             8.3022e-05
                     91,                0.76349,                0.71359,                 1.1132,                0.72594,                 0.5766,                0.61952,                0.47121,                 0.9835,                 1.2114,                 1.2549,             8.0522e-05,             8.0522e-05,             8.0522e-05
                     92,                0.76179,                0.71288,                 1.1079,                0.69109,                0.60704,                0.62992,                0.47847,                 0.9753,                 1.2005,                 1.2482,             7.8023e-05,             7.8023e-05,             7.8023e-05
                     93,                0.74706,                0.69265,                  1.102,                 0.7019,                 0.5959,                 0.6305,                0.47551,                0.98412,                 1.2001,                 1.2543,             7.5523e-05,             7.5523e-05,             7.5523e-05
                     94,                0.74202,                0.68995,                    1.1,                0.62667,                0.64511,                0.62719,                0.47425,                0.98145,                 1.1925,                 1.2483,             7.3023e-05,             7.3023e-05,             7.3023e-05
                     95,                0.74182,                0.68873,                 1.0997,                0.69677,                0.58288,                0.62645,                0.47389,                0.98559,                 1.2272,                 1.2542,             7.0523e-05,             7.0523e-05,             7.0523e-05
                     96,                0.74584,                0.69508,                 1.1001,                0.69146,                0.59477,                0.62964,                  0.481,                0.97961,                 1.2133,                  1.252,             6.8024e-05,             6.8024e-05,             6.8024e-05
                     97,                0.73251,                0.67723,                 1.0906,                0.66161,                0.61919,                0.63518,                0.48313,                0.97908,                 1.2001,                 1.2494,             6.5524e-05,             6.5524e-05,             6.5524e-05
                     98,                0.73316,                0.66912,                 1.0933,                0.67093,                0.60669,                0.62487,                0.47546,                0.98023,                 1.2203,                 1.2558,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     99,                0.73961,                0.67402,                  1.099,                0.69207,                0.59285,                0.62676,                0.47699,                0.97366,                 1.2057,                 1.2516,             6.0524e-05,             6.0524e-05,             6.0524e-05
                    100,                0.74023,                  0.674,                 1.0953,                0.67986,                0.61014,                0.62678,                0.47727,                0.97526,                 1.2086,                 1.2483,             5.8025e-05,             5.8025e-05,             5.8025e-05
                    101,                 0.7344,                0.67088,                  1.093,                0.67516,                0.61106,                0.63492,                0.48141,                0.97858,                 1.2157,                 1.2515,             5.5525e-05,             5.5525e-05,             5.5525e-05
                    102,                0.72192,                0.67113,                 1.0901,                0.65504,                0.61653,                 0.6313,                0.48373,                 0.9811,                 1.2148,                 1.2539,             5.3025e-05,             5.3025e-05,             5.3025e-05
                    103,                0.72227,                0.66127,                 1.0866,                0.67069,                0.62338,                0.63589,                 0.4858,                0.97174,                 1.2004,                 1.2467,             5.0525e-05,             5.0525e-05,             5.0525e-05
                    104,                0.72619,                0.66144,                 1.0896,                0.66702,                0.63339,                0.63692,                0.48562,                0.97391,                 1.1963,                 1.2483,             4.8026e-05,             4.8026e-05,             4.8026e-05
                    105,                0.71995,                0.65602,                 1.0848,                0.67162,                0.62716,                0.63236,                0.48002,                0.97204,                    1.2,                 1.2456,             4.5526e-05,             4.5526e-05,             4.5526e-05
                    106,                 0.7222,                0.66468,                 1.0881,                0.68673,                0.59579,                0.62577,                 0.4733,                0.97044,                 1.2108,                 1.2466,             4.3026e-05,             4.3026e-05,             4.3026e-05
                    107,                0.71427,                0.65225,                 1.0815,                0.62497,                  0.636,                0.62031,                0.47144,                0.97525,                 1.2124,                  1.257,             4.0526e-05,             4.0526e-05,             4.0526e-05
                    108,                0.70995,                0.64381,                 1.0806,                0.65749,                0.62081,                 0.6256,                0.47543,                0.97441,                 1.2213,                 1.2557,             3.8027e-05,             3.8027e-05,             3.8027e-05
                    109,                0.71605,                0.65186,                 1.0817,                0.67489,                0.60495,                0.62739,                0.47558,                0.97529,                 1.2164,                 1.2543,             3.5527e-05,             3.5527e-05,             3.5527e-05
                    110,                0.71268,                0.65082,                 1.0865,                0.65604,                0.62974,                0.62861,                0.47898,                0.97549,                 1.2059,                 1.2546,             3.3027e-05,             3.3027e-05,             3.3027e-05
                    111,                0.65127,                0.52256,                 1.0439,                0.72788,                0.57626,                0.62529,                0.47489,                0.97982,                 1.2178,                 1.2606,             3.0527e-05,             3.0527e-05,             3.0527e-05
                    112,                0.63645,                0.49301,                 1.0389,                0.69356,                0.58856,                0.61978,                0.47158,                0.97966,                 1.2304,                 1.2631,             2.8028e-05,             2.8028e-05,             2.8028e-05
                    113,                 0.6322,                0.48509,                 1.0329,                0.69308,                0.60058,                 0.6177,                0.46993,                0.97844,                 1.2409,                 1.2635,             2.5528e-05,             2.5528e-05,             2.5528e-05
                    114,                0.63059,                0.48588,                 1.0342,                 0.6913,                0.60149,                0.62131,                0.47419,                0.97496,                 1.2485,                 1.2603,             2.3028e-05,             2.3028e-05,             2.3028e-05
                    115,                0.62155,                0.47656,                 1.0321,                0.66495,                0.60935,                0.62151,                0.47549,                0.96877,                 1.2406,                 1.2589,             2.0528e-05,             2.0528e-05,             2.0528e-05
                    116,                0.62195,                0.46756,                 1.0324,                0.68668,                0.59185,                0.62142,                0.47483,                0.96715,                 1.2399,                 1.2554,             1.8029e-05,             1.8029e-05,             1.8029e-05
                    117,                0.60966,                0.46411,                 1.0221,                0.67833,                0.59483,                0.62267,                0.47496,                0.96665,                 1.2359,                 1.2533,             1.5529e-05,             1.5529e-05,             1.5529e-05
                    118,                0.61704,                0.46293,                 1.0272,                0.66881,                0.59694,                0.62502,                0.47704,                0.96557,                 1.2288,                 1.2511,             1.3029e-05,             1.3029e-05,             1.3029e-05
                    119,                0.61063,                0.45965,                 1.0198,                0.69021,                0.59507,                0.62691,                0.47735,                0.96546,                 1.2321,                 1.2519,             1.0529e-05,             1.0529e-05,             1.0529e-05
                    120,                0.61219,                0.46008,                 1.0225,                0.68626,                0.59557,                0.62636,                0.47702,                0.96525,                 1.2337,                 1.2518,             8.0295e-06,             8.0295e-06,             8.0295e-06
