                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2214,                 3.9626,                 1.4934,                0.28594,                0.18269,                0.11509,                0.07705,                 1.2076,                  3.196,                 1.5507,             0.00010064,             0.00010064,             0.00010064
                      2,                 1.2253,                 3.1059,                 1.4824,                0.34054,                0.32405,                0.22459,                0.15438,                 1.2398,                 2.5736,                 1.5346,             0.00019997,             0.00019997,             0.00019997
                      3,                 1.2115,                 2.7517,                 1.4617,                0.27613,                0.38104,                0.30012,                0.20128,                 1.2437,                 2.3241,                 1.5441,             0.00029764,             0.00029764,             0.00029764
                      4,                 1.1872,                 2.5172,                 1.4356,                0.24361,                0.41927,                0.32224,                0.20849,                 1.2439,                 2.3723,                 1.5124,              0.0002955,              0.0002955,              0.0002955
                      5,                 1.1762,                 2.3666,                 1.4275,                0.34384,                0.43569,                0.39219,                 0.2641,                 1.2043,                  2.063,                 1.4765,              0.0002955,              0.0002955,              0.0002955
                      6,                 1.1494,                 2.2103,                 1.3958,                0.34235,                0.44993,                0.39325,                0.26527,                 1.2001,                 2.0252,                 1.5019,               0.000293,               0.000293,               0.000293
                      7,                 1.1417,                 2.0948,                 1.3827,                0.44952,                0.47359,                0.45187,                0.31094,                 1.1838,                 1.8669,                  1.463,              0.0002905,              0.0002905,              0.0002905
                      8,                 1.1275,                 2.0017,                 1.3702,                0.52867,                0.45936,                0.44292,                0.30513,                  1.167,                 1.8875,                  1.429,               0.000288,               0.000288,               0.000288
                      9,                 1.1112,                 1.9101,                 1.3552,                0.51413,                 0.4669,                0.46046,                0.31454,                 1.1982,                 1.7838,                 1.4413,              0.0002855,              0.0002855,              0.0002855
                     10,                 1.1064,                 1.8438,                 1.3504,                0.45065,                0.50366,                0.47304,                0.33101,                 1.1649,                  1.763,                 1.4073,               0.000283,               0.000283,               0.000283
                     11,                 1.0918,                 1.7863,                 1.3424,                0.50832,                0.50725,                0.49467,                 0.3404,                  1.178,                 1.7067,                  1.427,              0.0002805,              0.0002805,              0.0002805
                     12,                 1.0905,                 1.7291,                 1.3357,                0.53099,                0.53209,                 0.5098,                0.35626,                 1.1611,                 1.6974,                 1.4024,               0.000278,               0.000278,               0.000278
                     13,                 1.0779,                 1.6872,                 1.3321,                0.53998,                0.50204,                0.52744,                0.36544,                 1.1495,                 1.5866,                  1.386,              0.0002755,              0.0002755,              0.0002755
                     14,                 1.0806,                  1.671,                 1.3241,                0.52695,                 0.5683,                 0.5401,                0.37633,                 1.1513,                    1.6,                 1.3887,               0.000273,               0.000273,               0.000273
                     15,                 1.0666,                 1.5928,                 1.3189,                0.51761,                0.53742,                0.52919,                0.37143,                 1.1404,                  1.596,                 1.3944,              0.0002705,              0.0002705,              0.0002705
                     16,                 1.0444,                 1.5154,                  1.301,                0.55082,                0.54744,                0.56096,                0.39724,                 1.1452,                 1.5235,                 1.3706,               0.000268,               0.000268,               0.000268
