                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99261,                  1.217,                 1.2633,                0.57894,                0.53709,                0.55707,                0.39296,                 1.1459,                 1.4716,                 1.3736,             0.00022051,             0.00022051,             0.00022051
                     36,                0.99318,                 1.2192,                 1.2563,                0.59241,                0.52009,                0.56944,                0.40468,                 1.1241,                 1.4779,                 1.3585,             0.00021801,             0.00021801,             0.00021801
                     37,                0.99381,                 1.2025,                  1.254,                0.61571,                0.57678,                0.58775,                0.41642,                  1.124,                 1.3986,                 1.3535,             0.00021551,             0.00021551,             0.00021551
                     38,                 0.9932,                 1.2104,                 1.2578,                 0.5525,                0.59994,                0.58706,                0.42421,                 1.0947,                 1.3894,                 1.3361,             0.00021301,             0.00021301,             0.00021301
                     39,                0.98113,                 1.1861,                 1.2522,                0.61536,                0.53211,                0.57242,                0.41055,                 1.1077,                 1.4076,                 1.3489,             0.00021051,             0.00021051,             0.00021051
                     40,                0.97752,                 1.1757,                 1.2518,                0.53943,                0.60929,                0.59285,                0.42468,                 1.0951,                 1.3271,                 1.3253,             0.00020801,             0.00020801,             0.00020801
                     41,                0.98004,                 1.1585,                 1.2476,                0.63368,                0.55989,                0.58174,                0.41477,                 1.1057,                 1.4037,                 1.3361,             0.00020551,             0.00020551,             0.00020551
                     42,                0.97409,                 1.1349,                  1.238,                0.59161,                 0.5787,                0.58457,                0.41537,                 1.1044,                 1.3709,                 1.3441,             0.00020301,             0.00020301,             0.00020301
                     43,                0.96778,                 1.1317,                 1.2397,                0.59453,                0.60353,                0.59276,                0.42072,                 1.1141,                 1.3644,                 1.3484,             0.00020051,             0.00020051,             0.00020051
                     44,                0.97675,                 1.1365,                 1.2442,                 0.5766,                0.61156,                0.59054,                0.42017,                 1.1062,                 1.3895,                 1.3367,             0.00019801,             0.00019801,             0.00019801
                     45,                0.96291,                 1.1135,                 1.2304,                0.57466,                 0.6232,                0.60407,                0.43486,                 1.0938,                 1.3209,                 1.3346,             0.00019551,             0.00019551,             0.00019551
                     46,                0.93947,                  1.086,                  1.225,                0.58422,                 0.5926,                0.59987,                0.43285,                 1.0862,                 1.3445,                   1.34,             0.00019301,             0.00019301,             0.00019301
                     47,                0.95425,                 1.0909,                  1.232,                0.61199,                0.59612,                0.59186,                0.42622,                  1.095,                 1.3575,                 1.3345,             0.00019051,             0.00019051,             0.00019051
                     48,                0.94991,                 1.0853,                 1.2301,                0.70314,                0.56132,                0.61086,                0.43706,                 1.0902,                 1.3135,                 1.3315,             0.00018801,             0.00018801,             0.00018801
                     49,                0.95161,                 1.0653,                 1.2284,                0.61226,                0.59189,                0.60147,                0.43197,                 1.0969,                 1.3448,                 1.3288,             0.00018551,             0.00018551,             0.00018551
                     50,                 0.9403,                  1.066,                   1.22,                0.60981,                0.59075,                0.59928,                0.43116,                 1.0859,                 1.2954,                 1.3197,             0.00018301,             0.00018301,             0.00018301
                     51,                 0.9402,                 1.0523,                 1.2206,                0.65527,                0.54776,                0.58714,                0.42624,                 1.0885,                  1.388,                 1.3321,             0.00018051,             0.00018051,             0.00018051
                     52,                0.93078,                 1.0182,                 1.2128,                0.61045,                0.59318,                0.59588,                0.42782,                 1.0941,                 1.3271,                 1.3342,             0.00017801,             0.00017801,             0.00017801
                     53,                0.92622,                 1.0281,                 1.2089,                0.59772,                0.57914,                0.58192,                0.42369,                 1.0932,                  1.367,                 1.3387,             0.00017551,             0.00017551,             0.00017551
                     54,                0.93217,                 1.0142,                 1.2107,                0.66024,                0.55837,                0.60133,                0.43727,                 1.0903,                 1.3042,                 1.3258,             0.00017301,             0.00017301,             0.00017301
                     55,                0.91985,                 1.0158,                 1.2098,                0.60881,                0.57373,                0.59578,                0.43206,                 1.0839,                 1.3501,                 1.3213,             0.00017051,             0.00017051,             0.00017051
                     56,                  0.927,                 1.0242,                 1.2099,                0.61616,                0.58316,                0.59879,                0.43241,                  1.084,                 1.3468,                 1.3292,             0.00016801,             0.00016801,             0.00016801
                     57,                0.92537,                 0.9994,                 1.2086,                0.62846,                0.58909,                0.58951,                0.42985,                 1.0891,                 1.3368,                 1.3273,             0.00016551,             0.00016551,             0.00016551
                     58,                0.91937,                 1.0014,                 1.2078,                0.67589,                0.56535,                0.59471,                0.43597,                 1.0791,                 1.3299,                 1.3173,             0.00016301,             0.00016301,             0.00016301
                     59,                0.91174,                0.98934,                 1.2001,                0.67848,                0.56129,                0.61506,                0.44693,                 1.0846,                 1.2917,                 1.3274,             0.00016051,             0.00016051,             0.00016051
                     60,                0.91058,                0.97562,                  1.197,                0.66557,                0.56131,                0.60331,                0.43971,                 1.0802,                  1.295,                 1.3158,             0.00015801,             0.00015801,             0.00015801
                     61,                0.90556,                0.97097,                 1.2001,                0.64274,                0.59383,                0.60903,                 0.4432,                 1.0782,                 1.2624,                 1.3198,             0.00015551,             0.00015551,             0.00015551
                     62,                0.89894,                0.96169,                 1.1955,                0.67847,                0.58758,                0.62762,                0.45506,                  1.061,                 1.2477,                 1.3006,             0.00015301,             0.00015301,             0.00015301
                     63,                0.89294,                0.95181,                 1.1883,                0.64009,                0.59368,                0.60337,                0.44349,                 1.0718,                 1.2901,                 1.3089,             0.00015052,             0.00015052,             0.00015052
                     64,                0.90129,                0.95128,                 1.1913,                0.65915,                0.57987,                0.60667,                0.44069,                 1.0747,                 1.2947,                 1.3126,             0.00014802,             0.00014802,             0.00014802
                     65,                0.90055,                0.94612,                  1.193,                0.64964,                0.59586,                0.61371,                0.44659,                 1.0746,                 1.2791,                 1.3089,             0.00014552,             0.00014552,             0.00014552
                     66,                0.88928,                0.93324,                  1.188,                0.66635,                0.55744,                 0.5985,                0.43655,                 1.0683,                 1.3162,                 1.3094,             0.00014302,             0.00014302,             0.00014302
                     67,                0.89447,                0.93659,                 1.1873,                0.59687,                0.63819,                0.61669,                0.44955,                 1.0643,                 1.2627,                 1.3069,             0.00014052,             0.00014052,             0.00014052
                     68,                0.88314,                0.93338,                 1.1822,                0.62121,                0.60722,                0.61063,                0.44536,                 1.0636,                 1.2678,                 1.3007,             0.00013802,             0.00013802,             0.00013802
                     69,                0.88677,                0.92544,                 1.1871,                0.65972,                0.57909,                 0.6157,                0.44716,                 1.0661,                 1.2572,                 1.3073,             0.00013552,             0.00013552,             0.00013552
                     70,                0.88024,                0.91191,                 1.1828,                0.63639,                0.59974,                 0.6163,                0.45242,                 1.0582,                 1.2549,                 1.2958,             0.00013302,             0.00013302,             0.00013302
                     71,                0.86832,                0.90566,                 1.1749,                0.66491,                0.58348,                0.62595,                0.45499,                 1.0647,                 1.2691,                 1.3018,             0.00013052,             0.00013052,             0.00013052
                     72,                0.87657,                 0.9042,                 1.1763,                0.68036,                0.58191,                0.62193,                0.45425,                 1.0572,                 1.2726,                 1.3021,             0.00012802,             0.00012802,             0.00012802
                     73,                 0.8645,                0.89639,                 1.1702,                0.68974,                0.56475,                 0.6132,                0.45052,                 1.0495,                 1.2741,                 1.3008,             0.00012552,             0.00012552,             0.00012552
                     74,                 0.8648,                 0.8813,                 1.1725,                0.71431,                0.54379,                0.61754,                0.45549,                 1.0551,                 1.2568,                 1.2995,             0.00012302,             0.00012302,             0.00012302
                     75,                0.87128,                0.89472,                 1.1724,                0.59286,                0.64205,                0.61088,                 0.4489,                 1.0583,                 1.2653,                 1.3026,             0.00012052,             0.00012052,             0.00012052
                     76,                0.86732,                0.89001,                 1.1745,                0.66333,                0.58348,                0.61016,                0.44916,                 1.0515,                 1.2762,                 1.2974,             0.00011802,             0.00011802,             0.00011802
                     77,                0.85613,                0.88175,                 1.1644,                 0.6541,                0.58138,                0.60911,                0.45262,                 1.0467,                 1.2616,                 1.2983,             0.00011552,             0.00011552,             0.00011552
                     78,                0.85266,                0.86659,                 1.1629,                0.63224,                0.56646,                0.61814,                0.45591,                 1.0457,                 1.2715,                 1.2967,             0.00011302,             0.00011302,             0.00011302
                     79,                0.85677,                0.88161,                 1.1678,                0.60603,                0.59222,                0.61558,                0.45479,                 1.0472,                 1.2624,                 1.2973,             0.00011052,             0.00011052,             0.00011052
                     80,                0.85973,                0.86926,                 1.1657,                0.68599,                0.56619,                0.61203,                0.45458,                 1.0486,                 1.2601,                 1.2996,             0.00010802,             0.00010802,             0.00010802
                     81,                 0.8498,                0.85595,                 1.1641,                0.56697,                0.60831,                0.60432,                0.44636,                  1.055,                 1.2889,                 1.2981,             0.00010552,             0.00010552,             0.00010552
                     82,                0.85406,                0.85748,                 1.1641,                0.65841,                0.56131,                0.61286,                0.45726,                 1.0468,                 1.2654,                 1.2958,             0.00010302,             0.00010302,             0.00010302
                     83,                0.84947,                0.85103,                 1.1581,                0.59735,                 0.6059,                0.61845,                0.45393,                 1.0467,                 1.2804,                 1.2946,             0.00010052,             0.00010052,             0.00010052
                     84,                0.85224,                0.85581,                 1.1627,                0.70727,                 0.5524,                0.61219,                0.45449,                 1.0376,                 1.2566,                 1.2821,              9.802e-05,              9.802e-05,              9.802e-05
                     85,                0.83632,                0.83514,                 1.1497,                0.62921,                0.58834,                0.60351,                0.44858,                  1.043,                 1.3031,                 1.2908,             9.5521e-05,             9.5521e-05,             9.5521e-05
                     86,                0.83769,                0.83954,                 1.1524,                0.64671,                0.60074,                0.60807,                0.45398,                 1.0301,                 1.2587,                  1.288,             9.3021e-05,             9.3021e-05,             9.3021e-05
                     87,                0.83536,                0.83053,                 1.1535,                 0.6853,                0.57168,                0.60581,                0.45194,                 1.0253,                 1.2668,                 1.2873,             9.0521e-05,             9.0521e-05,             9.0521e-05
                     88,                0.83895,                0.83472,                 1.1513,                0.63524,                0.60022,                0.61086,                0.45521,                 1.0361,                 1.2596,                 1.2914,             8.8021e-05,             8.8021e-05,             8.8021e-05
                     89,                0.83523,                  0.829,                 1.1505,                0.68955,                0.58002,                0.61736,                0.45981,                 1.0368,                 1.2568,                 1.2963,             8.5522e-05,             8.5522e-05,             8.5522e-05
                     90,                0.83575,                0.82794,                 1.1514,                0.65957,                0.57958,                0.61333,                0.45639,                 1.0363,                 1.2539,                 1.2928,             8.3022e-05,             8.3022e-05,             8.3022e-05
                     91,                0.83456,                0.82828,                 1.1534,                0.64699,                0.59764,                 0.6203,                0.46233,                 1.0392,                 1.2374,                 1.2938,             8.0522e-05,             8.0522e-05,             8.0522e-05
                     92,                0.83878,                0.82456,                 1.1515,                0.61556,                0.61688,                0.61944,                0.46066,                 1.0318,                 1.2596,                 1.2829,             7.8023e-05,             7.8023e-05,             7.8023e-05
                     93,                0.82274,                0.80574,                 1.1464,                0.64413,                 0.5983,                0.62294,                0.46373,                 1.0319,                 1.2336,                 1.2825,             7.5523e-05,             7.5523e-05,             7.5523e-05
                     94,                0.81524,                0.80122,                 1.1402,                0.62893,                0.60331,                0.62139,                0.46272,                 1.0288,                 1.2329,                 1.2798,             7.3023e-05,             7.3023e-05,             7.3023e-05
                     95,                0.81433,                0.80666,                 1.1398,                0.69668,                0.59316,                0.62923,                0.47265,                 1.0174,                 1.2301,                 1.2713,             7.0523e-05,             7.0523e-05,             7.0523e-05
                     96,                0.82007,                0.81004,                 1.1411,                0.64358,                0.58911,                0.62388,                0.46746,                 1.0253,                 1.2489,                 1.2835,             6.8024e-05,             6.8024e-05,             6.8024e-05
                     97,                0.80855,                0.79754,                 1.1352,                0.71009,                0.56764,                0.62476,                0.46582,                 1.0298,                 1.2508,                 1.2841,             6.5524e-05,             6.5524e-05,             6.5524e-05
                     98,                0.80826,                0.78575,                 1.1355,                0.64554,                0.58894,                0.63111,                0.47041,                 1.0251,                 1.2252,                 1.2802,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     99,                0.81835,                0.79402,                  1.142,                0.61455,                0.59901,                0.62472,                0.46802,                 1.0269,                 1.2354,                 1.2834,             6.0524e-05,             6.0524e-05,             6.0524e-05
                    100,                0.81256,                0.78944,                 1.1364,                0.69875,                0.57178,                0.62956,                0.46604,                 1.0302,                 1.2359,                 1.2858,             5.8025e-05,             5.8025e-05,             5.8025e-05
                    101,                0.81356,                0.78945,                 1.1382,                0.60305,                0.60258,                0.62322,                0.46728,                 1.0263,                 1.2409,                 1.2829,             5.5525e-05,             5.5525e-05,             5.5525e-05
                    102,                0.80175,                0.78421,                 1.1347,                0.67437,                0.56128,                0.62508,                 0.4661,                 1.0302,                  1.236,                 1.2887,             5.3025e-05,             5.3025e-05,             5.3025e-05
                    103,                0.79928,                0.76907,                 1.1292,                0.72094,                0.55463,                 0.6201,                0.46227,                 1.0268,                 1.2519,                 1.2847,             5.0525e-05,             5.0525e-05,             5.0525e-05
                    104,                0.80614,                0.77782,                 1.1319,                0.63167,                0.59547,                0.62312,                0.46388,                 1.0228,                 1.2414,                 1.2793,             4.8026e-05,             4.8026e-05,             4.8026e-05
                    105,                0.80165,                0.77551,                 1.1317,                0.60911,                0.61467,                0.62332,                0.46493,                 1.0293,                 1.2484,                 1.2873,             4.5526e-05,             4.5526e-05,             4.5526e-05
                    106,                0.79695,                0.77661,                 1.1321,                0.69178,                0.58011,                0.61484,                0.46033,                 1.0317,                 1.2535,                 1.2953,             4.3026e-05,             4.3026e-05,             4.3026e-05
                    107,                0.79201,                 0.7666,                 1.1248,                0.66933,                0.58703,                0.61076,                0.45667,                  1.035,                 1.2541,                 1.2949,             4.0526e-05,             4.0526e-05,             4.0526e-05
